"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-07,89.2,-3.7,4.55,"Bichette, Bo",666182,623149,,foul_tip,,,,,11,Foul Tip,R,R,R,NYM,AZ,S,,,0,0,2026,-1.44,1.36,-0.9342433651387076,2.7801534731981716,,596019,,0,10,Bot,,,,,,,9.82764349183464,-129.30468485763578,-0.8871291232110441,-18.357024732912603,33.26510764557423,-17.265149838222374,3.162081693,1.595816929,,,,88.5,2461,6.6,823648,672515,545121,606466,571448,672695,694374,678489,682998,53.87,,,,,,,,82,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Strategic,Standard,241,-0.015,-0.043,70.4,6.6,,0.043,,0,0,0.805,0.805,36,28,36,28,1,4,3,2,3,1,1.59,1.44,1.44,13.7,3.542182935035658,5.311541666771378,42.70947168815725,22.60617483195545,23.382472423296164
SI,2026-04-07,88.1,-3.96,3.65,"Vientos, Mark",668901,657044,,ball,,,,,14,Ball,R,R,R,NYM,AZ,B,,,0,0,2026,-1.63,-1.05,1.0692976577399498,1.2726936385337928,,,,0,6,Bot,,,,,,,15.598864807725024,-127.04876336415077,3.100908491307602,-21.40813651476523,33.83453099145706,-44.54477137939143,3.340239501,1.685728347,,,,87.4,1939,7.1,823648,672515,545121,606466,571448,672695,678489,677950,682998,53.44,,,,,,,,52,1,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,280,0.006,0.041,,,,-0.041,,-1,-1,0.396,0.396,34,26,34,27,1,2,2,2,1,1,4.12,1.63,1.63,-12.7,,,,,
FF,2026-04-07,92.5,-2.2,6.54,"Benge, Carson",701807,656464,,ball,,,,,14,Ball,R,L,R,NYM,AZ,B,,,0,0,2026,-0.63,1.51,1.4383408604964179,2.2250654842927706,,,,0,9,Bot,,,,,,,10.608346626004883,-134.04515311044352,-8.229255363277098,-10.201359698532167,33.26772889194506,-12.208122955164978,3.259498032,1.644980315,,,,92.3,2334,6.8,823648,672515,545121,606466,571448,672695,694374,678489,682998,53.74,,,,,,,,76,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,222,0.007,0.041,,,,-0.041,,0,0,0.639,0.639,32,23,32,23,1,3,2,2,4,1,1.21,0.63,-0.63,41.2,,,,,
CH,2026-04-07,89,-2.42,5.56,"Polanco, Jorge",593871,642528,,called_strike,,,,,5,Called Strike,R,L,R,NYM,AZ,S,,,0,0,2026,-2.16,0.6,0.06815987703818172,2.1483117687993283,,,,0,8,Bot,,,,,,,10.695632661459188,-128.86599123031664,-3.164351918603716,-26.414495491122672,35.22187187707396,-25.037635326163013,3.191043307,1.610433071,,,,88.1,1825,6.7,823648,672515,545121,606466,571448,672695,694374,678489,682998,53.79,,,,,,,,66,1,Changeup,2,3,2,3,3,2,2,3,Infield shade,Standard,245,-0.009,-0.039,,,,0.039,,-1,-1,0.308,0.308,31,32,32,33,1,3,2,2,3,1,2.39,2.16,-2.16,40.0,,,,,
SI,2026-04-07,96.9,-1.65,5.85,"Alvarez, Francisco",682626,666661,,foul_tip,,,,,11,Foul Tip,R,R,R,NYM,AZ,S,,,0,0,2026,-1.81,1.14,-1.3803444371449816,3.016535597686955,,,,0,7,Bot,,,,,,,4.934060638029773,-140.6859263706506,-4.242852613068644,-24.9237572673461,43.821382091153126,-16.433550669632915,3.120833333,1.575,,,,95.2,2170,6.3,823648,672515,545121,606466,571448,672695,678489,677950,682998,54.18,,,,,,,,59,1,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,205,-0.007,-0.039,72.2,6.2,,0.039,,-1,-1,0.364,0.364,27,24,27,25,1,2,3,2,3,1,1.38,1.81,1.81,48.9,2.537639606404497,17.208680106516542,27.401978958952572,23.55170299913383,18.192861616510008
FF,2026-04-07,94,-2.36,6.24,"Lindor, Francisco",596019,668678,,ball,,,,,14,Ball,R,L,R,NYM,AZ,B,,,0,0,2026,-0.62,1.65,0.015733377756748212,0.9622227453333738,,,,0,1,Bot,,,,,,,7.499062106160385,-136.36956500265018,-11.405159077945134,-9.425520317901276,29.461286989346053,-9.218503921098097,3.107668963,1.568356299,,,,94.2,2374,6.5,823648,672515,545121,606466,571448,672695,678489,677950,682998,53.96,,,,,,,,6,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,205,0.003,0.041,,,,-0.041,,0,0,0.548,0.548,30,32,31,33,1,0,6,2,5,1,0.94,0.62,-0.62,50.0,,,,,
FF,2026-04-07,89.8,-3.63,4.59,"Bichette, Bo",666182,623149,,foul,,,,,11,Foul,R,R,R,NYM,AZ,S,,,0,1,2026,-1.62,1.3,-0.8075510566951467,3.3482077384213986,,596019,,0,10,Bot,,,,,,,10.38053058773777,-130.24377457262602,0.40764256574196267,-20.72771523578251,32.00260778229535,-17.972866700013615,3.162081693,1.595816929,180,63,29,89,2482,6.4,823648,672515,545121,606466,571448,672695,694374,678489,682998,54.11,,,,,,,,82,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,237,-0.026,-0.071,52.1,5.1,,0.071,88.0,0,0,0.79,0.79,36,28,36,28,1,4,3,2,3,1,1.59,1.62,1.62,15.4,-15.748488485812764,22.965408858457174,37.94977726021499,23.621689769043755,17.024223760459375
SI,2026-04-07,96.3,-1.75,5.75,"Alvarez, Francisco",682626,666661,field_out,hit_into_play,,,,,13,"Francisco Alvarez grounds out, third baseman Nolan Arenado to first baseman Ildemaro Vargas.",R,R,R,NYM,AZ,X,5,ground_ball,0,1,2026,-1.8,0.82,-1.199391111476658,2.2637940223343906,,,,0,7,Bot,107.72,169.42,,,,,5.623607066151337,-139.83374642435209,-5.148868575234762,-24.741955014785074,41.95210722960333,-20.40690949247594,3.120833333,1.575,28,77.6,-2,94.8,2034,6.3,823648,672515,545121,606466,571448,672695,678489,677950,682998,54.2,0.113,0.107,0,1,0,0,2,59,2,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,214,-0.041,-0.22,75.9,7.1,0.116,0.22,88.0,-1,-1,0.357,0.357,27,24,27,25,1,2,3,2,3,1,1.72,1.8,1.8,43.4,6.0435864327225906,-3.963666202162934,28.390434863634482,26.68265464338631,25.88542465419725
FF,2026-04-07,93.8,-2.47,6.21,"Lindor, Francisco",596019,668678,,called_strike,,,,,3,Called Strike,R,L,R,NYM,AZ,S,,,1,0,2026,-0.65,1.71,0.6098651365157582,2.740031491990787,,,,0,1,Bot,,,,,,,9.320111093101895,-136.1452057699151,-6.838393306100341,-10.165806387419545,30.481459265404272,-9.564947118175363,3.107668963,1.568356299,,,,93.8,2289,6.5,823648,672515,545121,606466,571448,672695,678489,677950,682998,54.02,,,,,,,,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,201,-0.004,-0.05,,,,0.05,,0,0,0.551,0.551,30,32,31,33,1,0,6,2,5,1,0.9,0.65,-0.65,44.3,,,,,
SI,2026-04-07,96.9,-2.44,5.51,"Polanco, Jorge",593871,642528,,ball,,,,,6,Ball,R,L,R,NYM,AZ,B,,,0,1,2026,-1.92,0.9,0.7980155370740294,2.2081395076683554,,,,0,8,Bot,,,,,,,12.977808521182476,-140.17954649766062,-4.9528660719341335,-28.490915070549423,40.038289347071654,-19.23633126399231,3.191043307,1.610433071,,,,95.6,2329,6.5,823648,672515,545121,606466,571448,672695,694374,678489,682998,54,,,,,,,,66,2,Sinker,2,3,2,3,3,2,2,3,Infield shade,Standard,233,0.006,0.031,,,,-0.031,,-1,-1,0.299,0.299,31,32,32,33,1,3,2,2,3,1,1.61,1.92,-1.92,43.9,,,,,
